meta,id,tweet,sentiment,emotion
meta,4330,nen vist bolest vztek smutek zmatek osam lose beznad j nakonec jen klid asi takhl vypad j life,neutral,others
meta,41616,haan yaar neha kab karega woh post usn na sach photoshoot karna chahiy woh post karega,neutral,sadness
meta,6648,televis media liy nhi hye toh aapko pata chal gya hogaachha hoga congress,negative,others
meta,2512,india nrc lagu kare w kashmir dhara 370ko khatam kare indian aps yahi umid,positive,others
meta,610,pagal kya real issu mandir import hindu khatr mei,neutral,others
meta,14356,jeet dher sari subh kamnay modi ji asha karta hu jistarah desh janta kha bihar jant,positive,joy
meta,5840,topi walay babu tau new job hougi humey chutti kesay milay gi,negative,fear
meta,32791,modi media walon maza ata hindu muslim debat karn,neutral,others
meta,37480,baih tere itjey kya jalti pakistan chutiy kheln de na unh bc tu indian nahi h,negative,anger
meta,16395,hehei saw actual someon shaadi,neutral,joy
meta,33428,answer miscalcul vote seat one vote matter deshkamahatyohar apn dhji,neutral,others
meta,19222,allah pak os k dil darwaza kbi nai krta sb k lyhe ach ehsa aor dua dil rkhta hoaajzi,neutral,others
meta,8422,bahut samajhdari cingress faisla liya haiaur umme karta hoon k desh parti,neutral,others
meta,26930,tu safar tu meri manzil tere bina guzara aye dil mushkil love u,positive,joy
meta,40285,dobar pm bnne aapko dher sari shubhakamnyen ummid aapk isa karykala desh bhut si nyi uplbadhiyon k,positive,joy
meta,21403,face life togeth spend money us still money,positive,others
meta,35826,waah khub likha shama jala jaha roshan kardeta fir kiya apn aapn ba,positive,others
meta,18017,tani abe haattt flop logo aukaad kiya h chutiya log ja aapijaan chaplusi bad,negative,disgust
meta,39736,star77 ohho veri beauti eye yarrrrr,positive,joy
meta,15893,evryon shit fuck,negative,anger
meta,5433,haram khor log ulta chor kotow dantey mulk torney bat kerney waley phulon har pehn,negative,disgust
meta,23492,armi fin also stade de franc prepar beauti see post instagram,positive,joy
meta,13515,jai shree ram jarurat nahi aandolan guruji modi h mumkinn h pl trust pm,positive,joy
meta,34678,lut chalu gaya bjp walo tumh chut mil raha nahi milna chahiy q,neutral,others
meta,11310,jinko nahi pta ramcharitmana kya wo bhej rahe h bjp neta phle samjhna chahiy f,neutral,disgust
meta,27883,abe yhi ram rajya kya jism sbhi sale harami sale itn berahm maar rhe modi dekhna sale tere,negative,anger
meta,16679,hs mayb ill fa wont feel thing,neutral,others
meta,26920,duniya dil kabhi na dadka dadkha dil yar mil pyar izhar kaho na pyar premi p,neutral,others
meta,35982,im poor poorev happi kase god,negative,others
meta,14603,madam ji alway miss videsh mantri,positive,sadness
meta,37801,sharma saw episodenic one sirmaan gay yaar sharma sir bahut himmat wa,positive,joy
meta,18824,happi birthday doctor sahab bhagwaan aapko khush swasth rkhe hme ais apni creativ hansaat rhe,positive,joy
meta,21543,teri kimat dokodi gayi amit shah captur telegana soon kcr resign,negative,disgust
meta,19116,bhe poj bhai wala mahe chipka ker rakhi yeh bhai bahen pyar,positive,others
meta,44557,mamta banerje na jane kya tumko desh ram jaishriram haar ghum dubi bu b,negative,surprise
meta,2359,still far better mm govt u number economi u share,neutral,others
meta,1445,chanda make gentl nice relat someon life k sahar zarort parti ha,neutral,others
meta,5440,chanda hope fr best,neutral,others
meta,7229,woo hoo cricket world cup start today good luck host tournament hope good st,neutral,others
meta,27364,famili background keh ni sqtai caus kaee ldkiyan fake naam sai id banati h n pic upload krti bina ghr walu ijazat k,neutral,sadness
